# Time_s	x	xdot	xddot	xdddot
0.000000	-0.322266	-0.434570	0.722656	0.883789
0.005000	0.546875	-0.781250	-0.654297	0.332031
0.010000	1.274414	0.122070	-0.517578	-0.478516
0.015000	0.883789	0.625000	-0.009766	-0.629883
0.020000	0.039062	0.546875	0.639648	-2.587891
0.025000	-0.380859	-0.771484	0.683594	1.225586
0.030000	0.927734	-0.991211	-0.864258	0.415039
0.035000	1.860352	0.151367	-0.590820	-0.546875
0.040000	1.396484	0.703125	0.019531	-0.693359
0.045000	0.463867	0.585938	0.190430	-0.991211
0.050000	-0.234375	0.131836	1.005859	-0.654297
0.055000	0.024414	-0.917969	-0.283203	0.727539
0.060000	1.103516	-0.288086	-0.693359	-0.180664
0.065000	1.176758	0.498047	-0.209961	-0.634766
0.070000	0.419922	0.629883	0.131836	-1.704102
0.075000	-0.351562	0.019531	1.381836	0.043945
0.080000	0.205078	-1.240234	-0.473633	0.927734
0.085000	1.621094	-0.351562	-0.834961	-0.209961
0.090000	1.723633	0.571289	-0.209961	-0.708008
0.095000	0.874023	0.683594	0.175781	-0.576172
0.100000	0.024414	0.429688	0.532227	-2.001953
0.105000	-0.297852	-0.600586	0.463867	0.908203
0.110000	0.693359	-0.693359	-0.703125	0.219727
0.115000	1.293945	0.224609	-0.449219	-0.527344
0.120000	0.800781	0.644531	0.029297	-0.629883
0.125000	-0.048828	0.493164	0.849609	-2.426758
0.130000	-0.317383	-0.952148	0.385742	1.215820
0.135000	1.103516	-0.874023	-0.903320	0.273438
0.140000	1.860352	0.258789	-0.507812	-0.605469
0.145000	1.284180	0.712891	0.063477	-0.673828
0.150000	0.361328	0.551758	0.185547	-1.386719
0.155000	-0.283203	-0.009766	1.044922	0.087891
0.160000	0.166016	-0.917969	-0.424805	0.634766
0.165000	1.191406	-0.170898	-0.659180	-0.278320
0.170000	1.118164	0.546875	-0.146484	-0.649414
0.175000	0.317383	0.615234	0.185547	-2.099609
0.180000	-0.400391	-0.170898	1.342773	1.010742
0.185000	0.385742	-1.210938	-0.620117	0.800781
0.190000	1.708984	-0.214844	-0.781250	-0.317383
0.195000	1.645508	0.620117	-0.141602	-0.717773
0.200000	0.756836	0.654297	0.185547	-0.546875
0.205000	-0.053711	0.380859	0.693359	-1.860352
0.210000	-0.244141	-0.742188	0.224609	0.893555
0.215000	0.830078	-0.595703	-0.727539	0.102539
0.220000	1.284180	0.307617	-0.385742	-0.576172
0.225000	0.703125	0.649414	0.063477	-0.615234
0.230000	-0.141602	0.415039	1.044922	-2.060547
0.235000	-0.224609	-1.088867	0.117188	1.171875
0.240000	1.250000	-0.747070	-0.908203	0.131836
0.245000	1.835938	0.356445	-0.429688	-0.644531
0.250000	1.181641	0.717773	0.107422	-0.649414
0.255000	0.263672	0.522461	0.219727	-1.713867
0.260000	-0.317383	-0.161133	1.000977	0.786133
0.265000	0.307617	-0.888672	-0.541992	0.527344
0.270000	1.245117	-0.053711	-0.615234	-0.361328
0.275000	1.049805	0.585938	-0.092773	-0.649414
0.280000	0.219727	0.595703	0.302734	-2.397461
0.285000	-0.415039	-0.380859	1.210938	1.123047
0.290000	0.576172	-1.152344	-0.727539	0.664062
0.295000	1.772461	-0.078125	-0.712891	-0.405273
0.300000	1.557617	0.654297	-0.078125	-0.712891
0.305000	0.644531	0.634766	0.190430	-0.517578
0.310000	-0.126953	0.307617	0.844727	-1.542969
0.315000	-0.156250	-0.844727	0.004883	0.854492
0.320000	0.947266	-0.483398	-0.732422	-0.009766
0.325000	1.264648	0.390625	-0.317383	-0.610352
0.330000	0.610352	0.644531	0.092773	-0.781250
0.335000	-0.224609	0.302734	1.215820	-1.499023
0.340000	-0.092773	-1.176758	-0.117188	1.103516
0.345000	1.391602	-0.610352	-0.898438	0.004883
0.350000	1.806641	0.444336	-0.351562	-0.673828
0.355000	1.069336	0.708008	0.131836	-0.625000
0.360000	0.170898	0.493164	0.307617	-1.928711
0.365000	-0.327148	-0.336914	0.869141	0.874023
0.370000	0.463867	-0.834961	-0.625000	0.415039
0.375000	1.284180	0.058594	-0.561523	-0.434570
0.380000	0.966797	0.615234	-0.043945	-0.649414
0.385000	0.122070	0.576172	0.468750	-2.558594
0.390000	-0.410156	-0.595703	0.947266	1.191406
0.395000	0.761719	-1.069336	-0.810547	0.532227
0.400000	1.816406	0.048828	-0.644531	-0.488281
0.405000	1.459961	0.688477	-0.019531	-0.708008
0.410000	0.537109	0.610352	0.190430	-0.727539
0.415000	-0.195312	0.209961	0.966797	-1.054688
0.420000	-0.048828	-0.908203	-0.180664	0.791016
0.425000	1.064453	-0.371094	-0.712891	-0.117188
0.430000	1.235352	0.458984	-0.249023	-0.629883
0.435000	0.502930	0.644531	0.117188	-1.289062
0.440000	-0.297852	0.166016	1.323242	-0.742188
0.445000	0.058594	-1.220703	-0.322266	1.005859
0.450000	1.518555	-0.468750	-0.864258	-0.117188
0.455000	1.757812	0.517578	-0.273438	-0.698242
0.460000	0.952148	0.693359	0.156250	-0.600586
0.465000	0.083008	0.458984	0.439453	-2.031250
0.470000	-0.317383	-0.502930	0.639648	0.913086
0.475000	0.610352	-0.761719	-0.678711	0.302734
0.480000	1.303711	0.156250	-0.498047	-0.493164
0.485000	0.883789	0.639648	0.004883	-0.629883
0.490000	0.024414	0.537109	0.659180	-2.539062
0.495000	-0.366211	-0.786133	0.634766	1.201172
0.500000	0.932617	-0.966797	-0.864258	0.385742
0.505000	1.826172	0.156250	-0.566406	-0.551758
0.510000	1.357422	0.693359	0.024414	-0.678711
0.515000	0.439453	0.576172	0.185547	-1.059570
0.520000	-0.239258	0.107422	1.005859	-0.527344
0.525000	0.048828	-0.908203	-0.307617	0.703125
0.530000	1.113281	-0.263672	-0.678711	-0.195312
0.535000	1.157227	0.498047	-0.200195	-0.629883
0.540000	0.400391	0.620117	0.131836	-1.733398
0.545000	-0.351562	-0.004883	1.362305	0.161133
0.550000	0.224609	-1.220703	-0.488281	0.898438
0.555000	1.611328	-0.332031	-0.815430	-0.219727
0.560000	1.689453	0.571289	-0.200195	-0.708008
0.565000	0.844727	0.673828	0.170898	-0.561523
0.570000	0.014648	0.415039	0.546875	-1.967773
0.575000	-0.288086	-0.620117	0.424805	0.903320
0.580000	0.703125	-0.668945	-0.703125	0.200195
0.585000	1.274414	0.234375	-0.439453	-0.527344
0.590000	0.776367	0.639648	0.034180	-0.620117
0.595000	-0.063477	0.478516	0.859375	-2.358398
0.600000	-0.302734	-0.957031	0.346680	1.196289
0.605000	1.103516	-0.849609	-0.888672	0.253906
0.610000	1.826172	0.268555	-0.488281	-0.600586
0.615000	1.254883	0.703125	0.068359	-0.664062
0.620000	0.341797	0.541992	0.185547	-1.416016
0.625000	-0.283203	-0.029297	1.035156	0.195312
0.630000	0.180664	-0.908203	-0.439453	0.615234
0.635000	1.181641	-0.151367	-0.644531	-0.288086
0.640000	1.098633	0.546875	-0.136719	-0.634766
0.645000	0.302734	0.610352	0.190430	-2.104492
0.650000	-0.390625	-0.190430	1.313477	1.010742
0.655000	0.400391	-1.186523	-0.620117	0.776367
0.660000	1.694336	-0.195312	-0.766602	-0.322266
0.665000	1.611328	0.615234	-0.131836	-0.708008
0.670000	0.732422	0.649414	0.180664	-0.537109
0.675000	-0.063477	0.366211	0.717773	-1.811523
0.680000	-0.224609	-0.761719	0.180664	0.888672
0.685000	0.854492	-0.576172	-0.732422	0.087891
0.690000	1.279297	0.322266	-0.371094	-0.576172
0.695000	0.693359	0.644531	0.068359	-0.605469
0.700000	-0.141602	0.405273	1.035156	-2.016602
0.705000	-0.214844	-1.074219	0.112305	1.152344
0.710000	1.245117	-0.727539	-0.898438	0.126953
0.715000	1.811523	0.356445	-0.419922	-0.634766
0.720000	1.152344	0.708008	0.102539	-0.634766
0.725000	0.249023	0.517578	0.229492	-1.743164
0.730000	-0.322266	-0.190430	0.986328	0.800781
0.735000	0.332031	-0.878906	-0.556641	0.512695
0.740000	1.245117	-0.039062	-0.605469	-0.366211
0.745000	1.040039	0.585938	-0.083008	-0.649414
0.750000	0.214844	0.595703	0.307617	-2.377930
0.755000	-0.410156	-0.385742	1.181641	1.118164
0.760000	0.581055	-1.132812	-0.722656	0.649414
0.765000	1.752930	-0.068359	-0.703125	-0.405273
0.770000	1.533203	0.654297	-0.073242	-0.708008
0.775000	0.625000	0.625000	0.190430	-0.507812
0.780000	-0.131836	0.297852	0.859375	-1.479492
0.785000	-0.141602	-0.854492	-0.019531	0.844727
0.790000	0.966797	-0.468750	-0.727539	-0.019531
0.795000	1.259766	0.395508	-0.307617	-0.610352
0.800000	0.595703	0.644531	0.097656	-0.800781
0.805000	-0.224609	0.292969	1.210938	-1.450195
0.810000	-0.087891	-1.166992	-0.131836	1.083984
0.815000	1.386719	-0.595703	-0.883789	-0.004883
0.820000	1.787109	0.444336	-0.341797	-0.673828
0.825000	1.044922	0.703125	0.131836	-0.620117
0.830000	0.156250	0.488281	0.322266	-1.953125
0.835000	-0.322266	-0.361328	0.844727	0.878906
0.840000	0.483398	-0.830078	-0.629883	0.400391
0.845000	1.289062	0.068359	-0.556641	-0.439453
0.850000	0.961914	0.620117	-0.034180	-0.639648
0.855000	0.117188	0.566406	0.478516	-2.534180
0.860000	-0.400391	-0.595703	0.922852	1.181641
0.865000	0.766602	-1.054688	-0.810547	0.517578
0.870000	1.801758	0.058594	-0.629883	-0.488281
0.875000	1.440430	0.683594	-0.019531	-0.698242
0.880000	0.522461	0.605469	0.190430	-0.771484
0.885000	-0.200195	0.200195	0.976562	-0.986328
0.890000	-0.034180	-0.908203	-0.200195	0.776367
0.895000	1.069336	-0.356445	-0.712891	-0.126953
0.900000	1.225586	0.458984	-0.244141	-0.629883
0.905000	0.498047	0.634766	0.117188	-1.303711
0.910000	-0.297852	0.156250	1.318359	-0.688477
0.915000	0.068359	-1.210938	-0.327148	0.996094
0.920000	1.508789	-0.458984	-0.854492	-0.122070
0.925000	1.733398	0.517578	-0.263672	-0.688477
0.930000	0.932617	0.688477	0.156250	-0.590820
0.935000	0.073242	0.458984	0.449219	-2.021484
0.940000	-0.317383	-0.512695	0.615234	0.908203
0.945000	0.615234	-0.747070	-0.683594	0.292969
0.950000	1.298828	0.166016	-0.488281	-0.498047
0.955000	0.869141	0.634766	0.000000	-0.629883
0.960000	0.019531	0.532227	0.664062	-2.529297
0.965000	-0.361328	-0.795898	0.615234	1.201172
0.970000	0.942383	-0.952148	-0.864258	0.371094
0.975000	1.821289	0.170898	-0.561523	-0.551758
0.980000	1.342773	0.703125	0.029297	-0.678711
0.985000	0.419922	0.576172	0.185547	-1.176758
0.990000	-0.253906	0.073242	1.044922	-0.346680
0.995000	0.083008	-0.927734	-0.346680	0.698242
1.000000	1.157227	-0.244141	-0.678711	-0.219727
1.005000	1.171875	0.517578	-0.180664	-0.639648
1.010000	0.395508	0.620117	0.136719	-1.767578
1.015000	-0.356445	-0.014648	1.357422	0.244141
1.020000	0.239258	-1.215820	-0.498047	0.883789
1.025000	1.611328	-0.317383	-0.815430	-0.234375
1.030000	1.674805	0.576172	-0.190430	-0.708008
1.035000	0.820312	0.673828	0.170898	-0.561523
1.040000	-0.004883	0.415039	0.600586	-1.967773
1.045000	-0.278320	-0.668945	0.366211	0.913086
1.050000	0.756836	-0.659180	-0.717773	0.175781
1.055000	1.303711	0.253906	-0.429688	-0.546875
1.060000	0.776367	0.644531	0.043945	-0.620117
1.065000	-0.068359	0.473633	0.878906	-2.333984
1.070000	-0.297852	-0.966797	0.322266	1.196289
1.075000	1.113281	-0.834961	-0.888672	0.239258
1.080000	1.821289	0.278320	-0.483398	-0.610352
1.085000	1.240234	0.708008	0.073242	-0.664062
1.090000	0.322266	0.541992	0.190430	-1.528320
1.095000	-0.297852	-0.068359	1.049805	0.419922
1.100000	0.224609	-0.917969	-0.478516	0.600586
1.105000	1.225586	-0.126953	-0.639648	-0.307617
1.110000	1.108398	0.566406	-0.126953	-0.649414
1.115000	0.292969	0.610352	0.205078	-2.143555
1.120000	-0.400391	-0.214844	1.303711	1.025391
1.125000	0.419922	-1.181641	-0.629883	0.761719
1.130000	1.699219	-0.180664	-0.756836	-0.332031
1.135000	1.601562	0.620117	-0.122070	-0.712891
