# Time_s	x	xdot
0.000000	1.791992	0.947266
0.005000	1.162109	0.825195
0.010000	0.605469	0.600586
0.015000	0.205078	0.380859
0.020000	-0.058594	0.209961
0.025000	-0.205078	-0.122070
0.030000	-0.117188	-0.488281
0.035000	0.195312	-0.498047
0.040000	0.512695	-0.209961
0.045000	0.654297	0.151367
0.050000	0.546875	0.454102
0.055000	0.249023	0.610352
0.060000	-0.161133	0.517578
0.065000	-0.483398	-0.273438
0.070000	-0.292969	-1.367188
0.075000	0.600586	-1.616211
0.080000	1.655273	-1.118164
0.085000	2.392578	-0.312500
0.090000	2.597656	0.405273
0.095000	2.333984	0.834961
0.100000	1.777344	0.942383
0.105000	1.157227	0.825195
0.110000	0.605469	0.600586
0.115000	-0.009766	0.258789
0.120000	-0.185547	-0.024414
0.125000	-0.166016	-0.429688
0.130000	0.107422	-0.527344
0.135000	0.454102	-0.292969
0.140000	0.644531	0.063477
0.145000	0.595703	0.390625
0.150000	0.327148	0.581055
0.155000	-0.058594	0.585938
0.160000	-0.439453	-0.024414
0.165000	-0.410156	-1.166992
0.170000	0.346680	-1.645508
0.175000	1.420898	-1.274414
0.180000	2.265625	-0.507812
0.185000	2.597656	0.258789
0.190000	2.431641	0.761719
0.195000	1.923828	0.947266
0.200000	1.293945	0.864258
0.205000	0.722656	0.649414
0.210000	0.278320	0.429688
0.215000	-0.014648	0.258789
0.220000	-0.185547	-0.034180
0.225000	-0.161133	-0.434570
0.230000	0.117188	-0.527344
0.235000	0.463867	-0.292969
0.240000	0.644531	0.073242
0.245000	0.595703	0.395508
0.250000	0.327148	0.585938
0.255000	-0.063477	0.581055
0.260000	-0.444336	-0.039062
0.265000	-0.400391	-1.181641
0.270000	0.361328	-1.645508
0.275000	1.435547	-1.264648
0.280000	2.275391	-0.498047
0.285000	2.602539	0.268555
0.290000	2.431641	0.771484
0.295000	1.918945	0.947266
0.300000	1.284180	0.864258
0.305000	0.712891	0.649414
0.310000	0.273438	0.424805
0.315000	-0.009766	0.253906
0.320000	-0.185547	-0.034180
0.325000	-0.156250	-0.434570
0.330000	0.117188	-0.527344
0.335000	0.463867	-0.288086
0.340000	0.644531	0.078125
0.345000	0.590820	0.400391
0.350000	0.317383	0.585938
0.355000	-0.073242	0.581055
0.360000	-0.449219	-0.058594
0.365000	-0.400391	-1.196289
0.370000	0.380859	-1.645508
0.375000	1.455078	-1.254883
0.380000	2.285156	-0.483398
0.385000	2.597656	0.273438
0.390000	2.421875	0.776367
0.395000	1.904297	0.947266
0.400000	1.274414	0.859375
0.405000	0.703125	0.644531
0.410000	0.268555	0.419922
0.415000	-0.019531	0.253906
0.420000	-0.185547	-0.043945
0.425000	-0.156250	-0.439453
0.430000	0.126953	-0.527344
0.435000	0.463867	-0.283203
0.440000	0.649414	0.087891
0.445000	0.585938	0.405273
0.450000	0.317383	0.590820
0.455000	-0.078125	0.571289
0.460000	-0.444336	-0.068359
0.465000	-0.390625	-1.210938
0.470000	0.395508	-1.650391
0.475000	1.464844	-1.250000
0.480000	2.299805	-0.473633
0.485000	2.602539	0.288086
0.490000	2.421875	0.781250
0.495000	1.899414	0.947266
0.500000	1.269531	0.859375
0.505000	0.698242	0.644531
0.510000	0.263672	0.419922
0.515000	-0.019531	0.249023
0.520000	-0.185547	-0.048828
0.525000	-0.151367	-0.444336
0.530000	0.131836	-0.522461
0.535000	0.468750	-0.273438
0.540000	0.649414	0.092773
0.545000	0.581055	0.410156
0.550000	0.307617	0.590820
0.555000	-0.083008	0.576172
0.560000	-0.454102	-0.083008
0.565000	-0.380859	-1.225586
0.570000	0.410156	-1.645508
0.575000	1.484375	-1.240234
0.580000	2.304688	-0.458984
0.585000	2.602539	0.297852
0.590000	2.412109	0.786133
0.595000	1.889648	0.947266
0.600000	1.254883	0.854492
0.605000	0.688477	0.634766
0.610000	0.258789	0.419922
0.615000	-0.024414	0.244141
0.620000	-0.185547	-0.053711
0.625000	-0.151367	-0.449219
0.630000	0.136719	-0.522461
0.635000	0.473633	-0.268555
0.640000	0.644531	0.092773
0.645000	0.581055	0.410156
0.650000	0.307617	0.590820
0.655000	-0.087891	0.571289
0.660000	-0.458984	-0.102539
0.665000	-0.375977	-1.240234
0.670000	0.424805	-1.640625
0.675000	1.499023	-1.230469
0.680000	2.314453	-0.449219
0.685000	2.597656	0.307617
0.690000	2.407227	0.786133
0.695000	1.884766	0.947266
0.700000	1.250000	0.849609
0.705000	0.683594	0.634766
0.710000	0.253906	0.415039
0.715000	-0.029297	0.239258
0.720000	-0.190430	-0.058594
0.725000	-0.146484	-0.454102
0.730000	0.141602	-0.517578
0.735000	0.478516	-0.263672
0.740000	0.649414	0.102539
0.745000	0.576172	0.415039
0.750000	0.297852	0.595703
0.755000	-0.097656	0.571289
0.760000	-0.458984	-0.117188
0.765000	-0.366211	-1.250000
0.770000	0.444336	-1.645508
0.775000	1.513672	-1.225586
0.780000	2.324219	-0.439453
0.785000	2.602539	0.317383
0.790000	2.402344	0.795898
0.795000	1.870117	0.947266
0.800000	1.245117	0.849609
0.805000	0.678711	0.629883
0.810000	0.249023	0.410156
0.815000	-0.029297	0.234375
0.820000	-0.190430	-0.063477
0.825000	-0.146484	-0.458984
0.830000	0.146484	-0.517578
0.835000	0.483398	-0.258789
0.840000	0.644531	0.107422
0.845000	0.576172	0.419922
0.850000	0.297852	0.595703
0.855000	-0.102539	0.566406
0.860000	-0.468750	-0.131836
0.865000	-0.361328	-1.259766
0.870000	0.458984	-1.640625
0.875000	1.528320	-1.210938
0.880000	2.329102	-0.424805
0.885000	2.602539	0.322266
0.890000	2.397461	0.800781
0.895000	1.865234	0.947266
0.900000	1.240234	0.849609
0.905000	0.668945	0.625000
0.910000	0.244141	0.405273
0.915000	-0.039062	0.234375
0.920000	-0.190430	-0.073242
0.925000	-0.141602	-0.463867
0.930000	0.151367	-0.517578
0.935000	0.488281	-0.253906
0.940000	0.649414	0.112305
0.945000	0.576172	0.424805
0.950000	0.288086	0.595703
0.955000	-0.112305	0.556641
0.960000	-0.468750	-0.151367
0.965000	-0.351562	-1.274414
0.970000	0.473633	-1.640625
0.975000	1.542969	-1.206055
0.980000	2.333984	-0.410156
0.985000	2.602539	0.332031
0.990000	2.387695	0.805664
0.995000	1.855469	0.947266
1.000000	1.230469	0.849609
1.005000	0.659180	0.625000
1.010000	0.239258	0.405273
1.015000	-0.039062	0.229492
1.020000	-0.195312	-0.083008
1.025000	-0.141602	-0.468750
1.030000	0.156250	-0.517578
1.035000	0.493164	-0.249023
1.040000	0.649414	0.117188
1.045000	0.571289	0.424805
1.050000	0.283203	0.600586
1.055000	-0.117188	0.551758
1.060000	-0.468750	-0.161133
1.065000	-0.346680	-1.284180
1.070000	0.488281	-1.640625
1.075000	1.557617	-1.191406
1.080000	2.343750	-0.395508
1.085000	2.602539	0.341797
1.090000	2.382812	0.805664
1.095000	1.845703	0.947266
1.100000	1.220703	0.844727
1.105000	0.654297	0.620117
1.110000	0.229492	0.400391
1.115000	-0.043945	0.229492
1.120000	-0.195312	-0.083008
1.125000	-0.136719	-0.473633
1.130000	0.161133	-0.512695
1.135000	0.493164	-0.244141
1.140000	0.654297	0.122070
1.145000	0.566406	0.429688
1.150000	0.278320	0.600586
1.155000	-0.126953	0.541992
1.160000	-0.473633	-0.180664
1.165000	-0.336914	-1.298828
1.170000	0.507812	-1.635742
1.175000	1.572266	-1.181641
1.180000	2.353516	-0.385742
1.185000	2.602539	0.351562
1.190000	2.373047	0.815430
1.195000	1.835938	0.947266
1.200000	1.210938	0.839844
1.205000	0.644531	0.615234
1.210000	0.224609	0.395508
1.215000	-0.048828	0.224609
1.220000	-0.195312	-0.092773
1.225000	-0.136719	-0.473633
1.230000	0.166016	-0.507812
1.235000	0.498047	-0.239258
1.240000	0.654297	0.126953
1.245000	0.571289	0.434570
1.250000	0.268555	0.600586
1.255000	-0.126953	0.541992
1.260000	-0.473633	-0.195312
1.265000	-0.332031	-1.313477
1.270000	0.522461	-1.630859
1.275000	1.586914	-1.171875
1.280000	2.358398	-0.375977
