# Time_s	x	xdot	xddot	xdddot	dx
0.000000	0.019531	-0.004883	0.263672	0.175781	1.420898
0.005000	0.180664	-0.009766	-0.390625	-0.249023	1.420898
0.010000	-0.126953	0.463867	0.849609	-2.656250	1.416016
0.015000	-0.019531	-1.562500	-0.019531	1.547852	1.416016
0.020000	2.392578	-0.405273	-1.376953	-0.517578	1.420898
0.025000	1.977539	1.264648	0.048828	-1.240234	1.420898
0.030000	-0.024414	0.654297	1.508789	-2.270508	1.420898
0.035000	0.244141	-1.875000	-0.307617	1.665039	1.420898
0.040000	2.924805	-0.273438	-1.474609	-0.703125	1.420898
0.045000	2.246094	1.396484	0.180664	-1.284180	1.420898
0.050000	0.131836	0.625000	1.069336	-1.865234	1.416016
0.055000	0.063477	-1.284180	-0.131836	1.201172	1.420898
0.060000	1.943359	-0.190430	-1.127930	-0.566406	1.420898
0.065000	1.381836	1.137695	0.092773	-1.079102	1.420898
0.070000	-0.371094	0.273438	2.324219	-0.292969	1.420898
0.075000	0.986328	-2.294922	-1.025391	1.606445	1.420898
0.080000	3.798828	0.185547	-1.455078	-1.152344	1.420898
0.085000	2.412109	1.572266	0.498047	-1.245117	1.420898
0.090000	0.258789	0.419922	0.639648	-0.312500	1.420898
0.095000	0.048828	-0.283203	-0.244141	0.117188	1.420898
0.100000	0.283203	0.312500	-0.366211	-1.176758	1.420898
0.105000	-0.468750	-0.068359	2.011719	1.064453	1.420898
0.110000	1.123047	-1.855469	-1.147461	1.093750	1.420898
0.115000	3.159180	0.468750	-1.088867	-1.196289	1.420898
0.120000	1.582031	1.367188	0.541992	-1.010742	1.420898
0.125000	-0.209961	0.136719	1.499023	0.239258	1.420898
0.130000	0.673828	-1.303711	-0.791016	0.781250	1.425781
0.135000	2.119141	0.380859	-0.854492	-0.952148	1.420898
0.140000	0.859375	1.127930	0.375977	-2.158203	1.420898
0.145000	-0.566406	-0.766602	2.060547	2.065430	1.420898
0.150000	2.070312	-1.879883	-1.679688	0.761719	1.420898
0.155000	3.759766	0.927734	-0.869141	-1.508789	1.420898
0.160000	1.630859	1.367188	0.776367	-0.854492	1.420898
0.165000	0.004883	0.087891	0.517578	0.239258	1.420898
0.170000	0.205078	-0.239258	-0.424805	-0.053711	1.420898
0.175000	0.219727	0.498047	-0.195312	-2.500000	1.420898
0.180000	-0.541992	-0.781250	1.743164	1.875000	1.420898
0.185000	1.884766	-1.606445	-1.557617	0.576172	1.420898
0.190000	3.251953	0.932617	-0.732422	-1.416016	1.420898
0.195000	1.220703	1.245117	0.717773	-0.771484	1.416016
0.200000	-0.253906	-0.195312	1.201172	0.942383	1.420898
0.205000	0.864258	-0.932617	-0.903320	0.327148	1.420898
