Description	
Number of Runs	12
Preset Time	300
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	1559	300	03/06/25 10:04:43 AM	
2	950	1705	300	03/06/25 10:09:43 AM	
3	950	1558	300	03/06/25 10:14:44 AM	
4	950	1493	300	03/06/25 10:19:44 AM	
5	950	1402	300	03/06/25 10:24:44 AM	
6	950	1334	300	03/06/25 10:29:44 AM	
7	950	1258	300	03/06/25 10:34:44 AM	
8	950	1165	300	03/06/25 10:39:44 AM	
9	950	1186	300	03/06/25 10:44:44 AM	
10	950	1041	300	03/06/25 10:49:45 AM	
11	950	998	300	03/06/25 10:54:45 AM	
12	950	916	300	03/06/25 10:59:45 AM	
