Description	
Number of Runs	36
Preset Time	300
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	2228	300	03/13/25 09:38:06 AM	
2	950	2086	300	03/13/25 09:43:06 AM	
3	950	1949	300	03/13/25 09:48:06 AM	
4	950	1838	300	03/13/25 09:53:06 AM	
5	950	1720	300	03/13/25 09:58:06 AM	
6	950	1577	300	03/13/25 10:03:06 AM	
7	950	1508	300	03/13/25 10:08:06 AM	
8	950	1437	300	03/13/25 10:13:07 AM	
9	950	1383	300	03/13/25 10:18:07 AM	
10	950	1234	300	03/13/25 10:23:07 AM	
11	950	1238	300	03/13/25 10:28:07 AM	
12	950	1156	300	03/13/25 10:33:07 AM	
13	950	1080	300	03/13/25 10:38:07 AM	
14	950	1092	300	03/13/25 10:43:07 AM	
15	950	989	300	03/13/25 10:48:07 AM	
16	950	967	300	03/13/25 10:53:08 AM	
17	950	893	300	03/13/25 10:58:08 AM	
18	950	843	300	03/13/25 11:03:08 AM	
19	950	786	300	03/13/25 11:08:08 AM	
20	950	789	300	03/13/25 11:13:08 AM	
21	950	755	300	03/13/25 11:18:08 AM	
22	950	670	300	03/13/25 11:23:08 AM	
23	950	652	300	03/13/25 11:28:08 AM	
24	950	642	300	03/13/25 11:33:08 AM	
25	950	571	300	03/13/25 11:38:08 AM	
26	950	565	300	03/13/25 11:43:09 AM	
27	950	529	300	03/13/25 11:48:09 AM	
28	950	483	300	03/13/25 11:53:09 AM	
29	950	507	300	03/13/25 11:58:09 AM	
30	950	456	300	03/13/25 12:03:09 PM	
31	950	483	300	03/13/25 12:08:09 PM	
