Description	
Number of Runs	15
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
2	900	32	30	03/06/25 12:21:43 PM	
3	900	42	30	03/06/25 12:22:13 PM	
4	900	28	30	03/06/25 12:22:43 PM	
5	900	17	30	03/06/25 12:23:13 PM	
6	900	10	30	03/06/25 12:23:43 PM	
7	900	14	30	03/06/25 12:24:13 PM	
8	900	13	30	03/06/25 12:24:44 PM	
9	900	8	30	03/06/25 12:25:14 PM	
10	900	7	30	03/06/25 12:25:44 PM	
11	900	8	30	03/06/25 12:26:14 PM	
12	900	8	30	03/06/25 12:26:44 PM	
13	900	3	30	03/06/25 12:27:14 PM	
14	900	9	30	03/06/25 12:27:44 PM	
15	900	12	30	03/06/25 12:28:15 PM	
16	900	2	30	03/06/25 12:28:45 PM	
