Description	
Number of Runs	15
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	1982	30	03/13/25 10:11:36 AM	
2	900	1051	30	03/13/25 10:12:06 AM	
3	900	612	30	03/13/25 10:12:37 AM	
4	900	414	30	03/13/25 10:13:07 AM	
5	900	313	30	03/13/25 10:13:37 AM	
6	900	267	30	03/13/25 10:14:07 AM	
7	900	209	30	03/13/25 10:14:37 AM	
8	900	177	30	03/13/25 10:15:07 AM	
9	900	161	30	03/13/25 10:15:37 AM	
10	900	145	30	03/13/25 10:16:07 AM	
11	900	128	30	03/13/25 10:16:38 AM	
12	900	99	30	03/13/25 10:17:08 AM	
13	900	78	30	03/13/25 10:17:38 AM	
14	900	69	30	03/13/25 10:18:08 AM	
15	900	70	30	03/13/25 10:18:38 AM	
