Description	
Number of Runs	25
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	74	60	03/13/25 11:37:49 AM	
2	950	60	60	03/13/25 11:38:49 AM	
3	950	56	60	03/13/25 11:39:49 AM	
4	950	55	60	03/13/25 11:40:49 AM	
5	950	46	60	03/13/25 11:41:49 AM	
6	950	58	60	03/13/25 11:42:50 AM	
7	950	47	60	03/13/25 11:43:50 AM	
8	950	59	60	03/13/25 11:44:50 AM	
9	950	51	60	03/13/25 11:45:50 AM	
10	950	55	60	03/13/25 11:46:50 AM	
11	950	39	60	03/13/25 11:47:50 AM	
12	950	42	60	03/13/25 11:48:50 AM	
13	950	48	60	03/13/25 11:49:50 AM	
14	950	31	60	03/13/25 11:50:50 AM	
15	950	43	60	03/13/25 11:51:51 AM	
16	950	26	60	03/13/25 11:52:51 AM	
17	950	39	60	03/13/25 11:53:51 AM	
18	950	38	60	03/13/25 11:54:51 AM	
19	950	31	60	03/13/25 11:55:51 AM	
20	950	38	60	03/13/25 11:56:51 AM	
21	950	30	60	03/13/25 11:57:51 AM	
22	950	35	60	03/13/25 11:58:51 AM	
23	950	30	60	03/13/25 11:59:52 AM	
24	950	36	60	03/13/25 12:00:52 PM	
25	950	38	60	03/13/25 12:01:52 PM	
