Description	
Number of Runs	25
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	66	60	03/13/25 12:10:29 PM	
2	950	40	60	03/13/25 12:11:30 PM	
3	950	49	60	03/13/25 12:12:30 PM	
4	950	64	60	03/13/25 12:13:30 PM	
5	950	47	60	03/13/25 12:14:30 PM	
6	950	42	60	03/13/25 12:15:30 PM	
7	950	43	60	03/13/25 12:16:30 PM	
8	950	40	60	03/13/25 12:17:31 PM	
9	950	45	60	03/13/25 12:18:31 PM	
10	950	42	60	03/13/25 12:19:31 PM	
11	950	41	60	03/13/25 12:20:31 PM	
12	950	43	60	03/13/25 12:21:31 PM	
13	950	23	60	03/13/25 12:22:31 PM	
14	950	39	60	03/13/25 12:23:31 PM	
15	950	36	60	03/13/25 12:24:32 PM	
16	950	41	60	03/13/25 12:25:32 PM	
17	950	30	60	03/13/25 12:26:32 PM	
18	950	22	60	03/13/25 12:27:32 PM	
19	950	33	60	03/13/25 12:28:32 PM	
20	950	28	60	03/13/25 12:29:32 PM	
21	950	33	60	03/13/25 12:30:32 PM	
22	950	37	60	03/13/25 12:31:32 PM	
23	950	30	60	03/13/25 12:32:33 PM	
24	950	33	60	03/13/25 12:33:33 PM	
25	950	32	60	03/13/25 12:34:33 PM	
