Description	
Number of Runs	25
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	81	60	03/13/25 11:05:46 AM	
2	950	74	60	03/13/25 11:06:47 AM	
3	950	74	60	03/13/25 11:07:47 AM	
4	950	65	60	03/13/25 11:08:47 AM	
5	950	53	60	03/13/25 11:09:47 AM	
6	950	69	60	03/13/25 11:10:47 AM	
7	950	50	60	03/13/25 11:11:47 AM	
8	950	53	60	03/13/25 11:12:48 AM	
9	950	52	60	03/13/25 11:13:48 AM	
10	950	40	60	03/13/25 11:14:48 AM	
11	950	44	60	03/13/25 11:15:48 AM	
12	950	49	60	03/13/25 11:16:48 AM	
13	950	37	60	03/13/25 11:17:48 AM	
14	950	30	60	03/13/25 11:18:49 AM	
15	950	44	60	03/13/25 11:19:49 AM	
16	950	41	60	03/13/25 11:20:49 AM	
17	950	28	60	03/13/25 11:21:49 AM	
18	950	32	60	03/13/25 11:22:49 AM	
19	950	45	60	03/13/25 11:23:49 AM	
20	950	41	60	03/13/25 11:24:49 AM	
21	950	36	60	03/13/25 11:25:49 AM	
22	950	26	60	03/13/25 11:26:50 AM	
23	950	28	60	03/13/25 11:27:50 AM	
24	950	36	60	03/13/25 11:28:50 AM	
25	950	42	60	03/13/25 11:29:50 AM	
