NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
0.000000	12.891181	0.000000	3.273531
0.047454	12.891181	0.038152	3.273531
0.088251	12.891181	0.076588	3.273531
0.127390	12.891181	0.118912	3.285602
0.167858	12.888936	0.157051	3.285602
0.209435	12.888936	0.197229	3.285602
0.252341	12.888936	0.242783	3.307984
0.297742	12.890150	0.283237	3.307984
0.336375	12.890150	0.352468	3.283936
0.378649	12.890150	0.394283	3.283936
0.419561	12.890294	0.434543	3.283936
0.467642	12.890294	0.475357	3.283936
0.503790	12.890294	0.520102	3.276878
0.545957	12.910231	0.588265	3.276878
0.621738	12.910231	0.631796	3.298592
0.661728	12.910231	0.670203	3.298592
0.706143	12.904429	0.712118	3.298592
0.747602	12.904429	0.750967	3.281491
0.784701	12.904429	0.819201	3.281491
0.829667	12.901767	0.856241	3.281491
0.871636	12.901767	0.897107	3.280489
0.911580	12.901767	0.935779	3.280489
0.958505	12.914289	0.972939	3.280489
0.995048	12.914289	1.012923	3.284935
1.067279	12.905721	1.058304	3.284935
1.113546	12.905721	1.095478	3.284935
1.159431	12.905721	1.166098	3.291290
1.195368	12.905721	1.206859	3.291290
1.235474	12.930491	1.242795	3.291290
1.297499	12.930491	1.285703	3.284772
1.341301	12.927393	1.327097	3.284772
1.381166	12.927393	1.401117	3.284772
1.421970	12.927393	1.448304	3.302524
1.459104	12.927393	1.489909	3.302524
1.503607	12.911665	1.526155	3.302524
1.545092	12.911665	1.588178	3.271653
1.582952	12.911665	1.624039	3.271653
1.625731	12.917909	1.661410	3.271653
1.666478	12.917909	1.703567	3.283967
1.705863	12.917909	1.742451	3.283967
1.753486	12.927123	1.780483	3.283967
1.793267	12.927123	1.823386	3.291105
1.836941	12.927123	1.862124	3.291105
1.875685	12.928296	1.899272	3.291105
1.920031	12.928296	1.935601	3.291105
1.959198	12.928296	1.977448	3.296760
2.029267	12.934328	2.016829	3.296760
2.072274	12.934328	2.053275	3.296760
2.108254	12.934328	2.094763	3.290395
2.156199	12.934635	2.134702	3.290395
2.194398	12.934635	2.174510	3.290395
2.265039	12.934635	2.219745	3.288428
2.310080	12.944768	2.282859	3.288428
2.350347	12.944768	2.320535	3.288428
2.391142	12.944768	2.360624	3.304699
2.434543	12.921529	2.401411	3.304699
2.498073	12.921529	2.441407	3.304699
2.543409	12.946747	2.485867	3.276603
2.583287	12.946747	2.545225	3.276603
2.624145	12.946747	2.580804	3.276603
2.661900	12.946747	2.620718	3.305762
2.709843	12.947875	2.663045	3.305762
2.748048	12.947875	2.701521	3.305762
2.787456	12.947875	2.763054	3.302255
2.834601	12.934587	2.805825	3.302255
2.880412	12.934587	2.842810	3.302255
2.920746	12.934587	2.886067	3.299376
3.002085	12.946833	2.928607	3.299376
3.043167	12.946833	2.994359	3.299376
3.086635	12.940765	3.038036	3.321236
3.130572	12.940765	3.079196	3.321236
3.168065	12.940765	3.119518	3.321236
3.211460	12.959789	3.161303	3.318985
3.250348	12.959789	3.227887	3.318985
3.314971	12.959789	3.267134	3.318985
3.359625	12.942396	3.309442	3.300768
3.396812	12.942396	3.350718	3.300768
3.435622	12.942396	3.387873	3.300768
3.479065	12.947532	3.430011	3.315391
3.520763	12.947532	3.472968	3.315391
3.580365	12.947532	3.510413	3.315391
3.620665	12.941338	3.574094	3.316908
3.660223	12.941338	3.615361	3.316908
3.703272	12.941338	3.652111	3.316908
3.746900	12.964763	3.695129	3.305539
3.813694	12.964763	3.734697	3.305539
3.855276	12.964763	3.809880	3.329064
3.894322	12.962904	3.852439	3.329064
3.938717	12.962904	3.889802	3.329064
3.977105	12.962904	3.929762	3.329064
4.049025	12.958376	3.970551	3.329908
4.090040	12.958376	4.042769	3.329908
4.127409	12.971908	4.080597	3.306972
4.170556	12.971908	4.120722	3.306972
4.209817	12.971908	4.158500	3.306972
4.247443	12.971908	4.195302	3.306972
4.294325	12.826713	4.237788	3.308445
4.331239	12.826713	4.282990	3.308445
4.397553	12.827635	4.320433	3.308445
4.436412	12.827635	4.384613	3.322268
4.483654	12.827635	4.424548	3.322268
4.520067	12.827635	4.462586	3.322268
4.561392	12.821903	4.507504	3.321674
4.630755	12.821903	4.544758	3.321674
4.670013	12.823135	4.619425	3.324147
4.712290	12.823135	4.658504	3.324147
4.755599	12.823135	4.701470	3.324147
4.794688	12.823135	4.742674	3.323650
4.843764	12.816173	4.804680	3.323650
4.886364	12.816173	4.841483	3.323650
4.924103	12.827939	4.879949	3.310760
4.972399	12.827939	4.926283	3.310760
5.008295	12.827939	4.962027	3.310760
5.046596	12.827939	5.026083	3.304547
5.117191	12.844363	5.068250	3.304547
5.157882	12.844363	5.104105	3.304547
5.196521	12.844363	5.146173	3.320383
5.243870	12.812523	5.186924	3.320383
5.283676	12.812523	5.260303	3.320383
5.323092	12.812523	5.305398	3.322818
5.365880	12.800225	5.346904	3.322818
5.404574	12.800225	5.384899	3.322818
5.442760	12.800225	5.427825	3.316582
5.485098	12.814060	5.494123	3.316582
5.528020	12.814060	5.534786	3.327953
5.600973	12.808973	5.580057	3.327953
5.643715	12.808973	5.619411	3.327953
5.681625	12.808973	5.656536	3.327953
5.720128	12.808973	5.697884	3.327695
5.764943	12.810795	5.742982	3.327695
5.805386	12.810795	5.780692	3.327695
5.845016	12.810795	5.855206	3.325592
5.886800	12.794760	5.893383	3.325592
5.928378	12.794760	5.932607	3.325592
5.966356	12.794760	5.973392	3.320844
6.006354	12.776067	6.013123	3.320844
6.049057	12.776067	6.075176	3.320844
6.086370	12.776067	6.116373	3.320574
6.124806	12.768254	6.155390	3.320574
6.166240	12.768254	6.191283	3.320574
6.206826	12.768254	6.234221	3.335465
6.244413	12.768254	6.278907	3.335465
6.286651	12.793915	6.317691	3.335465
6.329697	12.793915	6.392794	3.324252
6.364946	12.793915	6.433130	3.324252
6.408666	12.813135	6.470174	3.324252
6.449111	12.813135	6.515246	3.325596
6.522023	12.813135	6.577085	3.325596
6.566241	12.810114	6.616954	3.328675
6.605572	12.810114	6.657670	3.328675
6.649886	12.810114	6.694555	3.328675
6.688108	12.809402	6.731582	3.328675
6.728287	12.809402	6.774183	3.330217
6.804256	12.802885	6.812625	3.330217
6.843935	12.802885	6.851030	3.330217
6.884616	12.802885	6.897392	3.312658
6.924300	12.806215	6.934073	3.312658
6.966876	12.806215	7.002131	3.312658
7.004997	12.806215	7.041688	3.320430
7.047060	12.806215	7.084258	3.320430
7.085706	12.814401	7.123827	3.320430
7.161659	12.814401	7.167699	3.331075
7.200496	12.802722	7.208035	3.331075
7.244942	12.802722	7.246002	3.331075
7.282452	12.802722	7.284533	3.320722
7.326178	12.795985	7.326162	3.320722
7.366132	12.795985	7.364997	3.320722
7.430296	12.795985	7.401109	3.320722
7.469024	12.795985	7.444711	3.336067
7.507215	12.801151	7.482770	3.336067
7.546297	12.801151	7.520950	3.336067
7.587489	12.801151	7.566922	3.325915
7.626480	12.812532	7.605994	3.325915
7.668133	12.812532	7.676569	3.320649
7.709434	12.812532	7.717786	3.320649
7.755030	12.828945	7.755540	3.320649
7.793992	12.828945	7.795304	3.320649
7.836226	12.828945	7.838315	3.343724
7.874591	12.821505	7.910938	3.343724
7.925854	12.821505	7.952667	3.322325
7.961826	12.821505	7.993942	3.322325
8.000766	12.830568	8.030341	3.322325
8.042124	12.830568	8.068819	3.322325
8.082937	12.830568	8.113428	3.328047
8.120360	12.830568	8.152010	3.328047
8.196161	12.834056	8.221595	3.325674
8.234644	12.834056	8.262685	3.325674
8.275745	12.838785	8.298945	3.325674
8.319794	12.838785	8.341351	3.349583
8.356533	12.838785	8.381026	3.349583
8.398747	12.825965	8.454539	3.349583
8.441407	12.825965	8.494161	3.354360
8.483195	12.825965	8.533213	3.354360
8.522398	12.825965	8.573427	3.354360
8.561586	12.825301	8.617876	3.349312
8.600842	12.825301	8.676636	3.349312
8.640810	12.825301	8.714625	3.349312
8.679305	12.818998	8.753865	3.345661
8.722555	12.818998	8.791771	3.345661
8.760864	12.818998	8.830130	3.345661
8.822849	12.829443	8.867387	3.345661
8.865204	12.829443	8.910930	3.335989
8.902368	12.829443	8.951554	3.335989
8.945002	12.832696	8.988307	3.335989
8.986069	12.832696	9.053473	3.347916
9.054716	12.832696	9.088931	3.347916
9.098463	12.850243	9.126340	3.347916
9.136146	12.850243	9.167923	3.353441
9.177796	12.850243	9.206455	3.353441
9.217587	12.855167	9.245333	3.353441
9.257138	12.855167	9.288404	3.341564
9.325549	12.854166	9.328274	3.341564
9.365499	12.854166	9.391314	3.341564
9.406463	12.854166	9.430904	3.362170
9.443822	12.854166	9.472959	3.362170
9.484707	12.864086	9.512731	3.362170
9.521906	12.864086	9.554477	3.364568
9.560724	12.864086	9.627255	3.364568
9.599431	12.881565	9.665620	3.364568
9.642381	12.881565	9.707790	3.367352
9.679650	12.881565	9.747559	3.367352
9.717660	12.881565	9.786853	3.367352
9.793078	12.877245	9.827317	3.359584
9.833916	12.877245	9.868382	3.359584
9.873575	12.870563	9.906374	3.359584
9.912685	12.870563	9.950978	3.360537
9.952628	12.870563	9.989132	3.360537
9.992967	12.870563	10.049133	3.360537
10.040420	12.858335	10.091202	3.365681
10.077952	12.858335	10.135539	3.365681
