--Free Induction Decay--
Form of Fit: y=a*exp(-x/b)+c
a= -0.006711
b= -26.451682
c= 0.000000

Raw Data:
Time (ms)	Amplitude (V)
0.000	0.028
0.040	0.028
0.080	0.028
0.120	0.108
0.160	0.028
0.200	0.108
0.240	0.108
0.280	0.028
0.320	0.028
0.360	0.028
0.400	0.028
0.440	0.108
0.480	0.108
0.520	0.028
0.560	0.028
0.600	0.028
0.640	0.028
0.680	0.028
0.720	0.028
0.760	0.028
0.800	0.108
0.840	0.028
0.880	0.108
0.920	0.028
0.960	0.028
1.000	0.108
1.040	0.108
1.080	0.028
1.120	0.028
1.160	0.028
1.200	0.028
1.240	0.028
1.280	0.028
1.320	0.108
1.360	0.108
1.400	0.028
1.440	0.108
1.480	0.028
1.520	0.028
1.560	0.028
1.600	0.028
1.640	0.028
1.680	0.028
1.720	0.028
1.760	0.028
1.800	0.028
1.840	0.108
1.880	0.028
1.920	0.028
1.960	0.028
2.000	0.028
2.040	0.028
2.080	0.028
2.120	0.028
2.160	0.028
2.200	0.028
2.240	0.108
2.280	0.108
2.320	0.028
2.360	0.028
2.400	0.028
2.440	0.028
2.480	0.108
2.520	0.108
2.560	0.028
2.600	0.028
2.640	0.028
2.680	0.108
2.720	0.108
2.760	0.028
2.800	0.028
2.840	0.108
2.880	0.028
2.920	0.108
2.960	0.028
3.000	0.028
3.040	0.028
3.080	0.108
3.120	0.028
3.160	0.108
3.200	0.028
3.240	0.028
3.280	0.028
3.320	0.108
3.360	0.028
3.400	0.028
3.440	0.028
3.480	0.028
3.520	0.108
3.560	0.028
3.600	0.108
3.640	0.108
3.680	0.028
3.720	0.028
3.760	0.028
3.800	0.108
3.840	0.028
3.880	0.028
3.920	0.028
3.960	0.028
4.000	0.028
4.040	0.028
4.080	0.028
4.120	0.028
4.160	0.108
4.200	0.028
4.240	0.028
4.280	0.028
4.320	0.108
4.360	0.028
4.400	0.028
4.440	0.108
4.480	0.028
4.520	0.028
4.560	0.028
4.600	0.028
4.640	0.108
4.680	0.028
4.720	0.108
4.760	0.108
4.800	0.108
4.840	0.028
4.880	0.028
4.920	0.028
4.960	0.028
5.000	0.028
5.040	0.028
5.080	0.108
5.120	0.108
5.160	0.108
5.200	0.028
5.240	0.028
5.280	0.028
5.320	0.108
5.360	0.028
5.400	0.028
5.440	0.028
5.480	0.108
5.520	0.108
5.560	0.028
5.600	0.028
5.640	0.108
5.680	0.108
5.720	0.108
5.760	0.108
5.800	0.108
5.840	0.028
5.880	0.108
5.920	0.108
5.960	0.028
6.000	0.028
6.040	0.028
6.080	0.108
6.120	0.108
6.160	0.028
6.200	0.028
6.240	0.108
6.280	0.028
6.320	0.108
6.360	0.108
6.400	0.028
6.440	0.028
6.480	0.108
6.520	0.028
6.560	0.028
6.600	0.028
6.640	0.028
6.680	0.028
6.720	0.028
6.760	0.028
6.800	0.028
6.840	0.108
6.880	0.028
6.920	-0.052
6.960	0.028
7.000	0.028
7.040	0.108
7.080	0.028
7.120	0.028
7.160	0.028
7.200	0.028
7.240	0.028
7.280	0.028
7.320	0.108
7.360	0.108
7.400	0.108
7.440	0.028
7.480	0.028
7.520	0.028
7.560	0.108
7.600	0.028
7.640	0.028
7.680	0.108
7.720	0.028
7.760	0.028
7.800	0.028
7.840	0.108
7.880	0.108
7.920	0.028
7.960	0.108
8.000	0.028
8.040	0.028
8.080	0.028
8.120	0.108
8.160	0.028
8.200	0.028
8.240	0.028
8.280	0.028
8.320	0.028
8.360	0.028
8.400	0.028
8.440	0.108
8.480	0.028
8.520	0.028
8.560	0.028
8.600	0.028
8.640	0.108
8.680	0.028
8.720	0.108
8.760	0.108
8.800	0.028
8.840	0.028
8.880	0.028
8.920	0.028
8.960	0.108
9.000	0.028
9.040	0.108
9.080	0.108
9.120	0.028
9.160	0.028
9.200	0.028
9.240	0.108
9.280	0.028
9.320	0.028
9.360	0.108
9.400	0.028
9.440	0.028
9.480	0.108
9.520	0.028
9.560	0.028
9.600	0.028
9.640	0.108
9.680	0.028
9.720	0.108
9.760	0.028
9.800	0.028
9.840	0.028
9.880	0.108
9.920	0.108
9.960	0.028
10.000	0.108
10.040	0.028
10.080	0.028
10.120	0.108
10.160	0.028
10.200	0.108
10.240	0.108
10.280	0.028
10.320	0.108
10.360	0.028
10.400	0.028
10.440	0.108
10.480	0.028
10.520	0.108
10.560	0.028
10.600	0.028
10.640	0.028
10.680	0.028
