--Free Induction Decay--
Form of Fit: y=a*exp(-x/b)+c
a= 59.750435
T2*= 4.266420
c= 0.000000

Raw Data:
Time (ms)	Amplitude (V)
0.000	-0.001
0.040	-0.009
0.080	-0.009
0.120	-0.017
0.160	-0.041
0.200	-0.025
0.240	-0.033
0.280	0.007
0.320	0.047
0.360	-0.009
0.400	-0.009
0.440	0.023
0.480	0.039
0.520	-0.017
0.560	-0.009
0.600	0.007
0.640	0.031
0.680	0.015
0.720	0.007
0.760	-0.001
0.800	-0.009
0.840	-0.017
0.880	0.007
0.920	-0.001
0.960	0.015
1.000	0.007
1.040	0.015
1.080	-0.017
1.120	0.007
1.160	-0.001
1.200	-0.001
1.240	0.015
1.280	-0.001
1.320	-0.033
1.360	0.023
1.400	-0.001
1.440	0.031
1.480	-0.001
1.520	-0.025
1.560	-0.001
1.600	-0.001
1.640	0.015
1.680	-0.033
1.720	-0.009
1.760	-0.025
1.800	0.015
1.840	0.031
1.880	-0.001
1.920	-0.017
1.960	0.031
2.000	-0.017
2.040	-0.025
2.080	-0.001
2.120	-0.025
2.160	-0.025
2.200	-0.009
2.240	0.031
2.280	0.015
2.320	0.015
2.360	-0.009
2.400	-0.009
2.440	-0.009
2.480	0.007
2.520	-0.009
2.560	0.063
2.600	0.007
2.640	-0.001
2.680	0.007
2.720	-0.001
2.760	0.023
2.800	0.007
2.840	-0.009
2.880	-0.025
2.920	-0.025
2.960	-0.017
3.000	0.015
3.040	-0.009
3.080	-0.033
3.120	-0.001
3.160	-0.017
3.200	-0.001
3.240	-0.001
3.280	0.031
3.320	-0.017
3.360	-0.017
3.400	0.023
3.440	-0.001
3.480	0.015
3.520	-0.017
3.560	-0.001
3.600	-0.001
3.640	-0.017
3.680	0.039
3.720	-0.017
3.760	-0.001
3.800	-0.017
3.840	-0.001
3.880	0.031
3.920	0.023
3.960	-0.001
4.000	0.023
4.040	-0.001
4.080	-0.009
4.120	0.015
4.160	-0.025
4.200	0.015
4.240	0.007
4.280	-0.001
4.320	-0.001
4.360	0.015
4.400	0.007
4.440	-0.009
4.480	-0.001
4.520	-0.001
4.560	0.031
4.600	-0.009
4.640	0.023
4.680	-0.001
4.720	-0.009
4.760	-0.017
4.800	-0.049
4.840	0.015
4.880	0.007
4.920	0.015
4.960	-0.009
5.000	0.007
5.040	-0.009
5.080	0.023
5.120	0.031
5.160	-0.001
5.200	-0.009
5.240	0.031
5.280	-0.017
5.320	-0.009
5.360	-0.001
5.400	-0.041
5.440	-0.001
5.480	-0.001
5.520	0.015
5.560	0.047
5.600	-0.009
5.640	-0.009
5.680	-0.017
5.720	-0.001
5.760	0.007
5.800	-0.009
5.840	0.007
5.880	-0.009
5.920	-0.017
5.960	-0.001
6.000	0.039
6.040	0.023
6.080	-0.001
6.120	-0.009
6.160	0.015
6.200	0.015
6.240	-0.001
6.280	0.007
6.320	0.015
6.360	0.015
6.400	-0.009
6.440	-0.001
6.480	-0.009
6.520	-0.041
6.560	-0.001
6.600	-0.001
6.640	-0.017
6.680	-0.009
6.720	-0.025
6.760	-0.001
6.800	-0.009
6.840	-0.009
6.880	0.023
6.920	-0.033
6.960	-0.017
7.000	-0.009
7.040	0.023
7.080	-0.017
7.120	0.023
7.160	-0.001
7.200	-0.009
7.240	-0.001
7.280	-0.001
7.320	-0.017
7.360	0.007
7.400	-0.017
7.440	-0.009
7.480	0.031
7.520	0.015
7.560	-0.001
7.600	-0.001
7.640	-0.041
7.680	-0.001
7.720	-0.001
7.760	0.023
7.800	-0.025
7.840	-0.025
7.880	0.015
7.920	-0.001
7.960	0.007
8.000	0.015
8.040	-0.025
8.080	-0.009
8.120	0.007
8.160	0.015
8.200	0.007
8.240	-0.001
8.280	-0.001
8.320	-0.017
8.360	-0.017
8.400	-0.009
8.440	0.023
8.480	0.007
8.520	-0.001
8.560	0.007
8.600	-0.009
8.640	0.007
8.680	-0.017
8.720	-0.001
8.760	-0.041
8.800	0.015
8.840	0.015
8.880	-0.009
8.920	-0.017
8.960	-0.009
9.000	-0.017
9.040	-0.001
9.080	0.047
9.120	-0.001
9.160	-0.001
9.200	0.015
9.240	0.007
9.280	-0.009
9.320	-0.009
9.360	-0.009
9.400	-0.017
9.440	0.031
9.480	0.007
9.520	0.015
9.560	-0.017
9.600	-0.001
9.640	-0.017
9.680	0.007
9.720	0.023
9.760	0.031
9.800	-0.017
9.840	-0.009
9.880	-0.017
9.920	0.023
9.960	-0.017
10.000	-0.009
10.040	0.007
10.080	-0.041
10.120	-0.001
10.160	-0.001
10.200	0.015
10.240	0.015
10.280	0.015
10.320	0.039
10.360	0.015
10.400	0.015
10.440	-0.041
10.480	0.007
10.520	-0.041
10.560	0.039
10.600	-0.025
10.640	-0.017
10.680	-0.001
10.720	0.015
10.760	-0.009
10.800	-0.025
10.840	0.015
10.880	-0.025
10.920	0.015
10.960	-0.041
11.000	0.015
11.040	-0.001
11.080	0.055
11.120	-0.033
11.160	0.015
11.200	0.023
11.240	-0.025
11.280	-0.009
11.320	0.015
11.360	-0.049
11.400	-0.017
11.440	0.039
11.480	0.007
